,Zipcode,Stats,WORK EXPERIENCE,Below poverty level,Percent below poverty level,Total
116,60022,Margin of Error,Did not work,67.0,2.5,450.0
117,60022,Margin of Error,Population 16 years and over,81.0,1.3,412.0
118,60022,Margin of Error,"Worked full-time, year-round in the past 12 months",21.0,1.0,221.0
119,60022,Margin of Error,Worked part-time or part-year in the past 12 months,13.0,1.0,266.0
120,60025,Estimate,Did not work,1161.0,10.9,10612.0
121,60025,Estimate,Population 16 years and over,1859.0,5.8,32112.0
122,60025,Estimate,"Worked full-time, year-round in the past 12 months",205.0,1.5,13271.0
123,60025,Estimate,Worked part-time or part-year in the past 12 months,493.0,6.0,8229.0
124,60025,Margin of Error,Did not work,262.0,2.4,846.0
125,60025,Margin of Error,Population 16 years and over,349.0,1.1,1269.0
126,60025,Margin of Error,"Worked full-time, year-round in the past 12 months",113.0,0.8,697.0
127,60025,Margin of Error,Worked part-time or part-year in the past 12 months,202.0,2.4,666.0
128,60026,Estimate,Did not work,293.0,7.8,3748.0
129,60026,Estimate,Population 16 years and over,350.0,3.4,10337.0
130,60026,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,4327.0
131,60026,Estimate,Worked part-time or part-year in the past 12 months,57.0,2.5,2262.0
132,60026,Margin of Error,Did not work,209.0,5.3,521.0
133,60026,Margin of Error,Population 16 years and over,236.0,2.2,728.0
134,60026,Margin of Error,"Worked full-time, year-round in the past 12 months",19.0,0.7,475.0
135,60026,Margin of Error,Worked part-time or part-year in the past 12 months,62.0,2.9,406.0
136,60029,Estimate,Did not work,15.0,9.9,152.0
137,60029,Estimate,Population 16 years and over,18.0,4.6,392.0
138,60029,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,163.0
139,60029,Estimate,Worked part-time or part-year in the past 12 months,3.0,3.9,77.0
140,60029,Margin of Error,Did not work,19.0,11.8,46.0
141,60029,Margin of Error,Population 16 years and over,20.0,5.1,81.0
142,60029,Margin of Error,"Worked full-time, year-round in the past 12 months",12.0,18.0,45.0
143,60029,Margin of Error,Worked part-time or part-year in the past 12 months,5.0,6.3,29.0
144,60030,Estimate,Did not work,1101.0,12.7,8651.0
145,60030,Estimate,Population 16 years and over,1755.0,6.0,29023.0
146,60030,Estimate,"Worked full-time, year-round in the past 12 months",269.0,2.0,13498.0
147,60030,Estimate,Worked part-time or part-year in the past 12 months,385.0,5.6,6874.0
148,60030,Margin of Error,Did not work,322.0,3.6,676.0
149,60030,Margin of Error,Population 16 years and over,429.0,1.5,911.0
150,60030,Margin of Error,"Worked full-time, year-round in the past 12 months",172.0,1.2,669.0
151,60030,Margin of Error,Worked part-time or part-year in the past 12 months,142.0,1.9,634.0
152,60031,Estimate,Did not work,672.0,9.1,7350.0
153,60031,Estimate,Population 16 years and over,1423.0,4.7,30239.0
154,60031,Estimate,"Worked full-time, year-round in the past 12 months",168.0,1.1,15275.0
155,60031,Estimate,Worked part-time or part-year in the past 12 months,583.0,7.7,7614.0
156,60031,Margin of Error,Did not work,164.0,2.1,558.0
157,60031,Margin of Error,Population 16 years and over,316.0,1.0,800.0
158,60031,Margin of Error,"Worked full-time, year-round in the past 12 months",97.0,0.6,629.0
159,60031,Margin of Error,Worked part-time or part-year in the past 12 months,189.0,2.7,779.0
160,60033,Estimate,Did not work,442.0,15.1,2923.0
161,60033,Estimate,Population 16 years and over,1087.0,11.2,9717.0
162,60033,Estimate,"Worked full-time, year-round in the past 12 months",214.0,5.0,4257.0
163,60033,Estimate,Worked part-time or part-year in the past 12 months,431.0,17.0,2537.0
164,60033,Margin of Error,Did not work,138.0,4.6,357.0
165,60033,Margin of Error,Population 16 years and over,239.0,2.6,529.0
166,60033,Margin of Error,"Worked full-time, year-round in the past 12 months",103.0,2.4,467.0
167,60033,Margin of Error,Worked part-time or part-year in the past 12 months,206.0,7.6,328.0
168,60034,Estimate,Did not work,100.0,22.4,446.0
169,60034,Estimate,Population 16 years and over,158.0,9.3,1704.0
170,60034,Estimate,"Worked full-time, year-round in the past 12 months",12.0,1.6,730.0
171,60034,Estimate,Worked part-time or part-year in the past 12 months,46.0,8.7,528.0
172,60034,Margin of Error,Did not work,61.0,11.0,112.0
173,60034,Margin of Error,Population 16 years and over,76.0,4.4,275.0
174,60034,Margin of Error,"Worked full-time, year-round in the past 12 months",13.0,1.9,137.0
175,60034,Margin of Error,Worked part-time or part-year in the past 12 months,37.0,7.2,174.0
176,60035,Estimate,Did not work,743.0,10.6,7036.0
177,60035,Estimate,Population 16 years and over,1161.0,5.0,23029.0
178,60035,Estimate,"Worked full-time, year-round in the past 12 months",50.0,0.5,9896.0
179,60035,Estimate,Worked part-time or part-year in the past 12 months,368.0,6.0,6097.0
180,60035,Margin of Error,Did not work,212.0,2.8,552.0
181,60035,Margin of Error,Population 16 years and over,272.0,1.2,465.0
182,60035,Margin of Error,"Worked full-time, year-round in the past 12 months",39.0,0.4,499.0
183,60035,Margin of Error,Worked part-time or part-year in the past 12 months,129.0,2.1,553.0
184,60040,Estimate,Did not work,177.0,18.4,960.0
185,60040,Estimate,Population 16 years and over,493.0,12.3,4013.0
186,60040,Estimate,"Worked full-time, year-round in the past 12 months",47.0,2.2,2123.0
187,60040,Estimate,Worked part-time or part-year in the past 12 months,269.0,28.9,930.0
188,60040,Margin of Error,Did not work,125.0,12.6,200.0
189,60040,Margin of Error,Population 16 years and over,266.0,6.8,261.0
190,60040,Margin of Error,"Worked full-time, year-round in the past 12 months",44.0,2.2,316.0
191,60040,Margin of Error,Worked part-time or part-year in the past 12 months,146.0,13.5,227.0
192,60041,Estimate,Did not work,254.0,14.6,1737.0
193,60041,Estimate,Population 16 years and over,566.0,8.5,6628.0
194,60041,Estimate,"Worked full-time, year-round in the past 12 months",72.0,2.2,3264.0
195,60041,Estimate,Worked part-time or part-year in the past 12 months,240.0,14.8,1627.0
196,60041,Margin of Error,Did not work,117.0,6.4,357.0
197,60041,Margin of Error,Population 16 years and over,264.0,4.0,733.0
198,60041,Margin of Error,"Worked full-time, year-round in the past 12 months",65.0,2.1,608.0
199,60041,Margin of Error,Worked part-time or part-year in the past 12 months,199.0,11.0,378.0
200,60042,Estimate,Did not work,326.0,18.7,1740.0
201,60042,Estimate,Population 16 years and over,623.0,9.2,6775.0
202,60042,Estimate,"Worked full-time, year-round in the past 12 months",23.0,0.7,3285.0
203,60042,Estimate,Worked part-time or part-year in the past 12 months,274.0,15.7,1750.0
204,60042,Margin of Error,Did not work,174.0,8.4,284.0
205,60042,Margin of Error,Population 16 years and over,212.0,3.1,385.0
206,60042,Margin of Error,"Worked full-time, year-round in the past 12 months",31.0,1.0,304.0
207,60042,Margin of Error,Worked part-time or part-year in the past 12 months,129.0,6.9,268.0
208,60043,Estimate,Did not work,48.0,6.6,729.0
209,60043,Estimate,Population 16 years and over,72.0,4.4,1653.0
210,60043,Estimate,"Worked full-time, year-round in the past 12 months",7.0,1.2,593.0
211,60043,Estimate,Worked part-time or part-year in the past 12 months,17.0,5.1,331.0
212,60043,Margin of Error,Did not work,29.0,4.1,105.0
213,60043,Margin of Error,Population 16 years and over,35.0,2.1,132.0
214,60043,Margin of Error,"Worked full-time, year-round in the past 12 months",11.0,1.8,83.0
215,60043,Margin of Error,Worked part-time or part-year in the past 12 months,14.0,4.5,67.0
216,60044,Estimate,Did not work,277.0,10.9,2542.0
217,60044,Estimate,Population 16 years and over,534.0,6.6,8114.0
218,60044,Estimate,"Worked full-time, year-round in the past 12 months",39.0,1.1,3473.0
219,60044,Estimate,Worked part-time or part-year in the past 12 months,218.0,10.4,2099.0
220,60044,Margin of Error,Did not work,127.0,4.4,313.0
221,60044,Margin of Error,Population 16 years and over,187.0,2.2,379.0
222,60044,Margin of Error,"Worked full-time, year-round in the past 12 months",60.0,1.7,340.0
223,60044,Margin of Error,Worked part-time or part-year in the past 12 months,121.0,5.3,264.0
224,60045,Estimate,Did not work,301.0,4.8,6245.0
225,60045,Estimate,Population 16 years and over,501.0,3.0,16520.0
226,60045,Estimate,"Worked full-time, year-round in the past 12 months",59.0,0.9,6402.0
227,60045,Estimate,Worked part-time or part-year in the past 12 months,141.0,3.6,3873.0
228,60045,Margin of Error,Did not work,124.0,2.0,450.0
229,60045,Margin of Error,Population 16 years and over,177.0,1.1,724.0
230,60045,Margin of Error,"Worked full-time, year-round in the past 12 months",55.0,0.9,605.0
231,60045,Margin of Error,Worked part-time or part-year in the past 12 months,111.0,2.7,542.0
232,60046,Estimate,Did not work,781.0,11.6,6738.0
233,60046,Estimate,Population 16 years and over,1432.0,5.4,26681.0
234,60046,Estimate,"Worked full-time, year-round in the past 12 months",81.0,0.6,13464.0
235,60046,Estimate,Worked part-time or part-year in the past 12 months,570.0,8.8,6479.0
236,60046,Margin of Error,Did not work,248.0,3.7,548.0
237,60046,Margin of Error,Population 16 years and over,514.0,2.0,826.0
238,60046,Margin of Error,"Worked full-time, year-round in the past 12 months",55.0,0.4,638.0
239,60046,Margin of Error,Worked part-time or part-year in the past 12 months,306.0,4.6,595.0
240,60047,Estimate,Did not work,488.0,6.2,7852.0
241,60047,Estimate,Population 16 years and over,951.0,2.9,32402.0
242,60047,Estimate,"Worked full-time, year-round in the past 12 months",195.0,1.2,16910.0
243,60047,Estimate,Worked part-time or part-year in the past 12 months,268.0,3.5,7640.0
244,60047,Margin of Error,Did not work,164.0,1.9,584.0
245,60047,Margin of Error,Population 16 years and over,289.0,0.9,616.0
246,60047,Margin of Error,"Worked full-time, year-round in the past 12 months",106.0,0.6,648.0
247,60047,Margin of Error,Worked part-time or part-year in the past 12 months,158.0,2.0,626.0
248,60048,Estimate,Did not work,605.0,8.6,6997.0
249,60048,Estimate,Population 16 years and over,900.0,4.0,22665.0
250,60048,Estimate,"Worked full-time, year-round in the past 12 months",60.0,0.6,10120.0
251,60048,Estimate,Worked part-time or part-year in the past 12 months,235.0,4.2,5548.0
252,60048,Margin of Error,Did not work,204.0,2.9,547.0
253,60048,Margin of Error,Population 16 years and over,276.0,1.2,585.0
254,60048,Margin of Error,"Worked full-time, year-round in the past 12 months",52.0,0.5,559.0
255,60048,Margin of Error,Worked part-time or part-year in the past 12 months,114.0,2.0,485.0
256,60050,Estimate,Did not work,861.0,12.0,7173.0
257,60050,Estimate,Population 16 years and over,1580.0,6.1,25867.0
258,60050,Estimate,"Worked full-time, year-round in the past 12 months",211.0,1.7,12273.0
259,60050,Estimate,Worked part-time or part-year in the past 12 months,508.0,7.9,6421.0
260,60050,Margin of Error,Did not work,267.0,3.7,557.0
261,60050,Margin of Error,Population 16 years and over,429.0,1.7,847.0
262,60050,Margin of Error,"Worked full-time, year-round in the past 12 months",107.0,0.9,671.0
263,60050,Margin of Error,Worked part-time or part-year in the past 12 months,207.0,3.2,636.0
264,60051,Estimate,Did not work,572.0,11.3,5072.0
265,60051,Estimate,Population 16 years and over,898.0,4.8,18904.0
266,60051,Estimate,"Worked full-time, year-round in the past 12 months",10.0,0.1,9112.0
267,60051,Estimate,Worked part-time or part-year in the past 12 months,316.0,6.7,4720.0
268,60051,Margin of Error,Did not work,236.0,4.3,524.0
269,60051,Margin of Error,Population 16 years and over,260.0,1.4,967.0
270,60051,Margin of Error,"Worked full-time, year-round in the past 12 months",13.0,0.1,715.0
271,60051,Margin of Error,Worked part-time or part-year in the past 12 months,122.0,2.6,526.0
272,60053,Estimate,Did not work,834.0,12.0,6928.0
273,60053,Estimate,Population 16 years and over,1275.0,6.7,18899.0
274,60053,Estimate,"Worked full-time, year-round in the past 12 months",182.0,2.3,7896.0
275,60053,Estimate,Worked part-time or part-year in the past 12 months,259.0,6.4,4075.0
276,60053,Margin of Error,Did not work,284.0,4.0,544.0
277,60053,Margin of Error,Population 16 years and over,430.0,2.3,347.0
278,60053,Margin of Error,"Worked full-time, year-round in the past 12 months",106.0,1.4,567.0
279,60053,Margin of Error,Worked part-time or part-year in the past 12 months,225.0,5.2,421.0
280,60056,Estimate,Did not work,1781.0,13.0,13717.0
281,60056,Estimate,Population 16 years and over,2498.0,5.8,43047.0
282,60056,Estimate,"Worked full-time, year-round in the past 12 months",161.0,0.8,19977.0
283,60056,Estimate,Worked part-time or part-year in the past 12 months,556.0,5.9,9353.0
284,60056,Margin of Error,Did not work,355.0,2.4,895.0
285,60056,Margin of Error,Population 16 years and over,472.0,1.1,822.0
286,60056,Margin of Error,"Worked full-time, year-round in the past 12 months",90.0,0.5,919.0
287,60056,Margin of Error,Worked part-time or part-year in the past 12 months,189.0,2.0,755.0
288,60060,Estimate,Did not work,922.0,11.1,8297.0
289,60060,Estimate,Population 16 years and over,1555.0,5.2,29881.0
290,60060,Estimate,"Worked full-time, year-round in the past 12 months",282.0,1.9,14819.0
291,60060,Estimate,Worked part-time or part-year in the past 12 months,351.0,5.2,6765.0
292,60060,Margin of Error,Did not work,303.0,3.5,724.0
293,60060,Margin of Error,Population 16 years and over,434.0,1.5,862.0
294,60060,Margin of Error,"Worked full-time, year-round in the past 12 months",218.0,1.4,917.0
295,60060,Margin of Error,Worked part-time or part-year in the past 12 months,177.0,2.7,538.0
296,60061,Estimate,Did not work,836.0,14.3,5831.0
297,60061,Estimate,Population 16 years and over,1379.0,6.6,20972.0
298,60061,Estimate,"Worked full-time, year-round in the past 12 months",88.0,0.9,10064.0
299,60061,Estimate,Worked part-time or part-year in the past 12 months,455.0,9.0,5077.0
300,60061,Margin of Error,Did not work,272.0,4.5,758.0
301,60061,Margin of Error,Population 16 years and over,390.0,1.9,526.0
302,60061,Margin of Error,"Worked full-time, year-round in the past 12 months",59.0,0.6,674.0
303,60061,Margin of Error,Worked part-time or part-year in the past 12 months,306.0,5.5,595.0
304,60062,Estimate,Did not work,914.0,7.6,11967.0
305,60062,Estimate,Population 16 years and over,1301.0,4.0,32254.0
306,60062,Estimate,"Worked full-time, year-round in the past 12 months",70.0,0.5,13315.0
307,60062,Estimate,Worked part-time or part-year in the past 12 months,317.0,4.5,6972.0
308,60062,Margin of Error,Did not work,293.0,2.3,719.0
309,60062,Margin of Error,Population 16 years and over,326.0,1.0,885.0
310,60062,Margin of Error,"Worked full-time, year-round in the past 12 months",58.0,0.4,745.0
311,60062,Margin of Error,Worked part-time or part-year in the past 12 months,129.0,1.8,683.0
312,60064,Estimate,Did not work,1165.0,32.4,3597.0
313,60064,Estimate,Population 16 years and over,2249.0,19.9,11278.0
314,60064,Estimate,"Worked full-time, year-round in the past 12 months",154.0,3.5,4366.0
315,60064,Estimate,Worked part-time or part-year in the past 12 months,930.0,28.1,3315.0
316,60064,Margin of Error,Did not work,270.0,6.1,429.0
317,60064,Margin of Error,Population 16 years and over,419.0,3.5,666.0
318,60064,Margin of Error,"Worked full-time, year-round in the past 12 months",86.0,1.9,457.0
319,60064,Margin of Error,Worked part-time or part-year in the past 12 months,311.0,7.9,469.0
320,60067,Estimate,Did not work,857.0,10.2,8435.0
321,60067,Estimate,Population 16 years and over,1639.0,5.4,30330.0
322,60067,Estimate,"Worked full-time, year-round in the past 12 months",181.0,1.2,15002.0
323,60067,Estimate,Worked part-time or part-year in the past 12 months,601.0,8.7,6893.0
324,60067,Margin of Error,Did not work,222.0,2.7,783.0
325,60067,Margin of Error,Population 16 years and over,375.0,1.3,1391.0
326,60067,Margin of Error,"Worked full-time, year-round in the past 12 months",108.0,0.7,923.0
327,60067,Margin of Error,Worked part-time or part-year in the past 12 months,267.0,3.6,743.0
328,60068,Estimate,Did not work,888.0,9.4,9400.0
329,60068,Estimate,Population 16 years and over,1248.0,4.3,29206.0
330,60068,Estimate,"Worked full-time, year-round in the past 12 months",107.0,0.8,13391.0
331,60068,Estimate,Worked part-time or part-year in the past 12 months,253.0,3.9,6415.0
332,60068,Margin of Error,Did not work,347.0,3.4,650.0
333,60068,Margin of Error,Population 16 years and over,405.0,1.4,614.0
334,60068,Margin of Error,"Worked full-time, year-round in the past 12 months",58.0,0.4,575.0
335,60068,Margin of Error,Worked part-time or part-year in the past 12 months,106.0,1.6,584.0
336,60069,Estimate,Did not work,357.0,12.5,2855.0
337,60069,Estimate,Population 16 years and over,397.0,5.7,6907.0
338,60069,Estimate,"Worked full-time, year-round in the past 12 months",0.0,0.0,2639.0
339,60069,Estimate,Worked part-time or part-year in the past 12 months,40.0,2.8,1413.0
340,60069,Margin of Error,Did not work,151.0,5.1,274.0
341,60069,Margin of Error,Population 16 years and over,157.0,2.3,488.0
342,60069,Margin of Error,"Worked full-time, year-round in the past 12 months",17.0,1.2,354.0
343,60069,Margin of Error,Worked part-time or part-year in the past 12 months,36.0,2.6,271.0
344,60070,Estimate,Did not work,593.0,18.0,3296.0
345,60070,Estimate,Population 16 years and over,1034.0,8.4,12271.0
346,60070,Estimate,"Worked full-time, year-round in the past 12 months",169.0,2.9,5782.0
347,60070,Estimate,Worked part-time or part-year in the past 12 months,272.0,8.5,3193.0
348,60070,Margin of Error,Did not work,214.0,6.3,410.0
349,60070,Margin of Error,Population 16 years and over,349.0,2.9,416.0
350,60070,Margin of Error,"Worked full-time, year-round in the past 12 months",133.0,2.3,484.0
351,60070,Margin of Error,Worked part-time or part-year in the past 12 months,138.0,4.4,433.0
352,60071,Estimate,Did not work,125.0,14.1,889.0
353,60071,Estimate,Population 16 years and over,313.0,10.6,2951.0
354,60071,Estimate,"Worked full-time, year-round in the past 12 months",46.0,4.0,1154.0
355,60071,Estimate,Worked part-time or part-year in the past 12 months,142.0,15.6,908.0
356,60071,Margin of Error,Did not work,63.0,7.3,215.0
357,60071,Margin of Error,Population 16 years and over,104.0,3.8,258.0
358,60071,Margin of Error,"Worked full-time, year-round in the past 12 months",35.0,3.1,180.0
359,60071,Margin of Error,Worked part-time or part-year in the past 12 months,65.0,9.2,300.0
360,60072,Estimate,Did not work,8.0,3.9,207.0
361,60072,Estimate,Population 16 years and over,32.0,3.7,865.0
362,60072,Estimate,"Worked full-time, year-round in the past 12 months",11.0,3.0,372.0
363,60072,Estimate,Worked part-time or part-year in the past 12 months,13.0,4.5,286.0
364,60072,Margin of Error,Did not work,9.0,4.7,89.0
365,60072,Margin of Error,Population 16 years and over,23.0,2.5,238.0
366,60072,Margin of Error,"Worked full-time, year-round in the past 12 months",13.0,3.4,109.0
367,60072,Margin of Error,Worked part-time or part-year in the past 12 months,12.0,4.3,84.0
368,60073,Estimate,Did not work,1678.0,15.3,10960.0
369,60073,Estimate,Population 16 years and over,2971.0,6.4,46277.0
370,60073,Estimate,"Worked full-time, year-round in the past 12 months",578.0,2.4,24095.0
371,60073,Estimate,Worked part-time or part-year in the past 12 months,715.0,6.4,11222.0
372,60073,Margin of Error,Did not work,453.0,3.9,766.0
373,60073,Margin of Error,Population 16 years and over,640.0,1.4,1094.0
374,60073,Margin of Error,"Worked full-time, year-round in the past 12 months",235.0,1.0,980.0
375,60073,Margin of Error,Worked part-time or part-year in the past 12 months,237.0,2.1,846.0
376,60074,Estimate,Did not work,1036.0,15.9,6527.0
377,60074,Estimate,Population 16 years and over,2587.0,8.9,29199.0
378,60074,Estimate,"Worked full-time, year-round in the past 12 months",399.0,2.7,14657.0
379,60074,Estimate,Worked part-time or part-year in the past 12 months,1152.0,14.4,8015.0
380,60074,Margin of Error,Did not work,348.0,4.7,675.0
381,60074,Margin of Error,Population 16 years and over,838.0,2.7,1325.0
382,60074,Margin of Error,"Worked full-time, year-round in the past 12 months",202.0,1.4,967.0
