,Zipcode,Stats,AGE,Below poverty level,Percent below poverty level,Total
135,60013,Margin of Error,18 to 34 years,123.0,2.3,530.0
136,60013,Margin of Error,18 to 64 years,171.0,1.0,787.0
137,60013,Margin of Error,35 to 64 years,113.0,0.9,779.0
138,60013,Margin of Error,5 to 17 years,112.0,2.5,372.0
139,60013,Margin of Error,60 years and over,82.0,1.6,492.0
140,60013,Margin of Error,65 years and over,80.0,2.6,307.0
141,60013,Margin of Error,Related children of householder under 18 years,128.0,2.2,427.0
142,60013,Margin of Error,Under 18 years,128.0,2.3,427.0
143,60013,Margin of Error,Under 5 years,29.0,2.3,236.0
144,60014,Estimate,18 to 34 years,846.0,10.2,8302.0
145,60014,Estimate,18 to 64 years,1674.0,5.9,28413.0
146,60014,Estimate,35 to 64 years,828.0,4.1,20111.0
147,60014,Estimate,5 to 17 years,570.0,6.4,8920.0
148,60014,Estimate,60 years and over,572.0,5.9,9703.0
149,60014,Estimate,65 years and over,415.0,6.1,6829.0
150,60014,Estimate,Related children of householder under 18 years,899.0,8.0,11297.0
151,60014,Estimate,Under 18 years,955.0,8.4,11353.0
152,60014,Estimate,Under 5 years,385.0,15.8,2433.0
153,60014,Margin of Error,18 to 34 years,262.0,3.1,636.0
154,60014,Margin of Error,18 to 64 years,459.0,1.6,888.0
155,60014,Margin of Error,35 to 64 years,250.0,1.2,693.0
156,60014,Margin of Error,5 to 17 years,241.0,2.6,680.0
157,60014,Margin of Error,60 years and over,235.0,2.3,719.0
158,60014,Margin of Error,65 years and over,161.0,2.3,570.0
159,60014,Margin of Error,Related children of householder under 18 years,280.0,2.5,690.0
160,60014,Margin of Error,Under 18 years,286.0,2.5,701.0
161,60014,Margin of Error,Under 5 years,169.0,6.7,364.0
162,60015,Estimate,18 to 34 years,122.0,3.5,3534.0
163,60015,Estimate,18 to 64 years,457.0,3.1,14831.0
164,60015,Estimate,35 to 64 years,335.0,3.0,11297.0
165,60015,Estimate,5 to 17 years,179.0,3.6,4909.0
166,60015,Estimate,60 years and over,274.0,4.0,6840.0
167,60015,Estimate,65 years and over,199.0,4.1,4796.0
168,60015,Estimate,Related children of householder under 18 years,210.0,3.3,6403.0
169,60015,Estimate,Under 18 years,210.0,3.3,6403.0
170,60015,Estimate,Under 5 years,31.0,2.1,1494.0
171,60015,Margin of Error,18 to 34 years,117.0,3.2,430.0
172,60015,Margin of Error,18 to 64 years,179.0,1.2,550.0
173,60015,Margin of Error,35 to 64 years,129.0,1.1,489.0
174,60015,Margin of Error,5 to 17 years,132.0,2.7,300.0
175,60015,Margin of Error,60 years and over,109.0,1.6,450.0
176,60015,Margin of Error,65 years and over,91.0,1.9,409.0
177,60015,Margin of Error,Related children of householder under 18 years,163.0,2.6,297.0
178,60015,Margin of Error,Under 18 years,163.0,2.6,297.0
179,60015,Margin of Error,Under 5 years,38.0,2.5,251.0
180,60016,Estimate,18 to 34 years,599.0,4.7,12635.0
181,60016,Estimate,18 to 64 years,2835.0,7.5,37591.0
182,60016,Estimate,35 to 64 years,2236.0,9.0,24956.0
183,60016,Estimate,5 to 17 years,943.0,11.9,7900.0
184,60016,Estimate,60 years and over,1294.0,8.6,15020.0
185,60016,Estimate,65 years and over,864.0,8.7,9957.0
186,60016,Estimate,Related children of householder under 18 years,1195.0,10.8,11087.0
187,60016,Estimate,Under 18 years,1345.0,12.0,11237.0
188,60016,Estimate,Under 5 years,402.0,12.0,3337.0
189,60016,Margin of Error,18 to 34 years,191.0,1.5,871.0
190,60016,Margin of Error,18 to 64 years,466.0,1.2,1082.0
191,60016,Margin of Error,35 to 64 years,397.0,1.5,1142.0
192,60016,Margin of Error,5 to 17 years,378.0,4.5,898.0
193,60016,Margin of Error,60 years and over,269.0,1.8,1081.0
194,60016,Margin of Error,65 years and over,233.0,2.3,832.0
195,60016,Margin of Error,Related children of householder under 18 years,421.0,3.7,1005.0
196,60016,Margin of Error,Under 18 years,427.0,3.6,1022.0
197,60016,Margin of Error,Under 5 years,249.0,7.1,603.0
198,60018,Estimate,18 to 34 years,818.0,12.9,6318.0
199,60018,Estimate,18 to 64 years,1755.0,10.0,17635.0
200,60018,Estimate,35 to 64 years,937.0,8.3,11317.0
201,60018,Estimate,5 to 17 years,902.0,18.9,4766.0
202,60018,Estimate,60 years and over,581.0,10.2,5671.0
203,60018,Estimate,65 years and over,443.0,11.5,3854.0
204,60018,Estimate,Related children of householder under 18 years,1332.0,20.4,6516.0
205,60018,Estimate,Under 18 years,1332.0,20.4,6516.0
206,60018,Estimate,Under 5 years,430.0,24.6,1750.0
207,60018,Margin of Error,18 to 34 years,303.0,4.4,596.0
208,60018,Margin of Error,18 to 64 years,445.0,2.5,1023.0
209,60018,Margin of Error,35 to 64 years,224.0,2.0,811.0
210,60018,Margin of Error,5 to 17 years,330.0,6.3,531.0
211,60018,Margin of Error,60 years and over,202.0,3.3,473.0
212,60018,Margin of Error,65 years and over,191.0,4.5,322.0
213,60018,Margin of Error,Related children of householder under 18 years,460.0,6.2,625.0
214,60018,Margin of Error,Under 18 years,460.0,6.2,625.0
215,60018,Margin of Error,Under 5 years,198.0,10.8,383.0
216,60020,Estimate,18 to 34 years,144.0,6.8,2122.0
217,60020,Estimate,18 to 64 years,634.0,9.2,6885.0
218,60020,Estimate,35 to 64 years,490.0,10.3,4763.0
219,60020,Estimate,5 to 17 years,6.0,0.6,925.0
220,60020,Estimate,60 years and over,184.0,7.7,2396.0
221,60020,Estimate,65 years and over,184.0,9.6,1918.0
222,60020,Estimate,Related children of householder under 18 years,88.0,5.4,1633.0
223,60020,Estimate,Under 18 years,88.0,5.4,1633.0
224,60020,Estimate,Under 5 years,82.0,11.6,708.0
225,60020,Margin of Error,18 to 34 years,116.0,5.1,468.0
226,60020,Margin of Error,18 to 64 years,310.0,4.1,766.0
227,60020,Margin of Error,35 to 64 years,270.0,4.9,666.0
228,60020,Margin of Error,5 to 17 years,10.0,1.1,250.0
229,60020,Margin of Error,60 years and over,91.0,3.9,296.0
230,60020,Margin of Error,65 years and over,91.0,4.9,297.0
231,60020,Margin of Error,Related children of householder under 18 years,72.0,4.4,305.0
232,60020,Margin of Error,Under 18 years,72.0,4.4,305.0
233,60020,Margin of Error,Under 5 years,71.0,9.8,225.0
234,60021,Estimate,18 to 34 years,13.0,1.0,1340.0
235,60021,Estimate,18 to 64 years,56.0,1.4,3973.0
236,60021,Estimate,35 to 64 years,43.0,1.6,2633.0
237,60021,Estimate,5 to 17 years,0.0,0.0,1037.0
238,60021,Estimate,60 years and over,24.0,3.8,637.0
239,60021,Estimate,65 years and over,24.0,6.5,371.0
240,60021,Estimate,Related children of householder under 18 years,0.0,0.0,1248.0
241,60021,Estimate,Under 18 years,0.0,0.0,1248.0
242,60021,Estimate,Under 5 years,0.0,0.0,211.0
243,60021,Margin of Error,18 to 34 years,22.0,1.7,327.0
244,60021,Margin of Error,18 to 64 years,47.0,1.2,386.0
245,60021,Margin of Error,35 to 64 years,41.0,1.6,288.0
246,60021,Margin of Error,5 to 17 years,17.0,3.1,264.0
247,60021,Margin of Error,60 years and over,29.0,4.5,173.0
248,60021,Margin of Error,65 years and over,29.0,7.5,118.0
249,60021,Margin of Error,Related children of householder under 18 years,17.0,2.6,277.0
250,60021,Margin of Error,Under 18 years,17.0,2.6,277.0
251,60021,Margin of Error,Under 5 years,17.0,14.2,103.0
252,60022,Estimate,18 to 34 years,18.0,2.4,747.0
253,60022,Estimate,18 to 64 years,87.0,2.1,4196.0
254,60022,Estimate,35 to 64 years,69.0,2.0,3449.0
255,60022,Estimate,5 to 17 years,6.0,0.3,1852.0
256,60022,Estimate,60 years and over,95.0,4.1,2330.0
257,60022,Estimate,65 years and over,46.0,2.6,1796.0
258,60022,Estimate,Related children of householder under 18 years,6.0,0.3,2253.0
259,60022,Estimate,Under 18 years,6.0,0.3,2253.0
260,60022,Estimate,Under 5 years,0.0,0.0,401.0
261,60022,Margin of Error,18 to 34 years,16.0,2.5,351.0
262,60022,Margin of Error,18 to 64 years,58.0,1.4,538.0
263,60022,Margin of Error,35 to 64 years,54.0,1.6,305.0
264,60022,Margin of Error,5 to 17 years,11.0,0.6,308.0
265,60022,Margin of Error,60 years and over,69.0,2.9,462.0
266,60022,Margin of Error,65 years and over,49.0,2.7,420.0
267,60022,Margin of Error,Related children of householder under 18 years,11.0,0.5,330.0
268,60022,Margin of Error,Under 18 years,11.0,0.5,330.0
269,60022,Margin of Error,Under 5 years,17.0,7.8,166.0
270,60025,Estimate,18 to 34 years,401.0,7.6,5250.0
271,60025,Estimate,18 to 64 years,1473.0,6.6,22183.0
272,60025,Estimate,35 to 64 years,1072.0,6.3,16933.0
273,60025,Estimate,5 to 17 years,1375.0,17.5,7858.0
274,60025,Estimate,60 years and over,604.0,5.0,11996.0
275,60025,Estimate,65 years and over,354.0,4.1,8563.0
276,60025,Estimate,Related children of householder under 18 years,1609.0,15.3,10503.0
277,60025,Estimate,Under 18 years,1620.0,15.4,10514.0
278,60025,Estimate,Under 5 years,245.0,9.2,2656.0
279,60025,Margin of Error,18 to 34 years,167.0,3.0,562.0
280,60025,Margin of Error,18 to 64 years,329.0,1.5,1093.0
281,60025,Margin of Error,35 to 64 years,293.0,1.7,940.0
282,60025,Margin of Error,5 to 17 years,766.0,8.3,792.0
283,60025,Margin of Error,60 years and over,154.0,1.3,891.0
284,60025,Margin of Error,65 years and over,118.0,1.4,704.0
285,60025,Margin of Error,Related children of householder under 18 years,781.0,6.6,794.0
286,60025,Margin of Error,Under 18 years,781.0,6.6,793.0
287,60025,Margin of Error,Under 5 years,198.0,7.1,426.0
288,60026,Estimate,18 to 34 years,24.0,1.7,1414.0
289,60026,Estimate,18 to 64 years,282.0,4.1,6809.0
290,60026,Estimate,35 to 64 years,258.0,4.8,5395.0
291,60026,Estimate,5 to 17 years,0.0,0.0,2945.0
292,60026,Estimate,60 years and over,83.0,2.3,3685.0
293,60026,Estimate,65 years and over,68.0,2.3,2919.0
294,60026,Estimate,Related children of householder under 18 years,26.0,0.7,3643.0
295,60026,Estimate,Under 18 years,26.0,0.7,3643.0
296,60026,Estimate,Under 5 years,26.0,3.7,698.0
297,60026,Margin of Error,18 to 34 years,27.0,1.9,290.0
298,60026,Margin of Error,18 to 64 years,226.0,3.2,595.0
299,60026,Margin of Error,35 to 64 years,221.0,3.9,503.0
300,60026,Margin of Error,5 to 17 years,19.0,1.1,488.0
301,60026,Margin of Error,60 years and over,68.0,1.9,518.0
302,60026,Margin of Error,65 years and over,62.0,2.2,477.0
303,60026,Margin of Error,Related children of householder under 18 years,41.0,1.1,482.0
304,60026,Margin of Error,Under 18 years,41.0,1.1,482.0
305,60026,Margin of Error,Under 5 years,41.0,5.7,198.0
306,60029,Estimate,18 to 34 years,3.0,4.7,64.0
307,60029,Estimate,18 to 64 years,3.0,1.1,280.0
308,60029,Estimate,35 to 64 years,0.0,0.0,216.0
309,60029,Estimate,5 to 17 years,0.0,0.0,127.0
310,60029,Estimate,60 years and over,15.0,13.6,110.0
311,60029,Estimate,65 years and over,15.0,16.9,89.0
312,60029,Estimate,Related children of householder under 18 years,0.0,0.0,143.0
313,60029,Estimate,Under 18 years,0.0,0.0,143.0
314,60029,Estimate,Under 5 years,0.0,0.0,16.0
315,60029,Margin of Error,18 to 34 years,6.0,9.9,32.0
316,60029,Margin of Error,18 to 64 years,6.0,2.2,71.0
317,60029,Margin of Error,35 to 64 years,12.0,13.9,65.0
318,60029,Margin of Error,5 to 17 years,12.0,22.3,35.0
319,60029,Margin of Error,60 years and over,19.0,16.1,33.0
320,60029,Margin of Error,65 years and over,19.0,19.2,29.0
321,60029,Margin of Error,Related children of householder under 18 years,12.0,20.2,39.0
322,60029,Margin of Error,Under 18 years,12.0,20.2,39.0
323,60029,Margin of Error,Under 5 years,12.0,74.1,12.0
324,60030,Estimate,18 to 34 years,383.0,5.2,7362.0
325,60030,Estimate,18 to 64 years,1187.0,5.4,21969.0
326,60030,Estimate,35 to 64 years,804.0,5.5,14607.0
327,60030,Estimate,5 to 17 years,603.0,10.8,5591.0
328,60030,Estimate,60 years and over,590.0,7.0,8463.0
329,60030,Estimate,65 years and over,388.0,6.5,5982.0
330,60030,Estimate,Related children of householder under 18 years,622.0,8.4,7415.0
331,60030,Estimate,Under 18 years,672.0,9.0,7465.0
332,60030,Estimate,Under 5 years,69.0,3.7,1874.0
333,60030,Margin of Error,18 to 34 years,160.0,2.1,505.0
334,60030,Margin of Error,18 to 64 years,316.0,1.4,657.0
335,60030,Margin of Error,35 to 64 years,252.0,1.7,642.0
336,60030,Margin of Error,5 to 17 years,300.0,5.0,482.0
337,60030,Margin of Error,60 years and over,208.0,2.3,798.0
338,60030,Margin of Error,65 years and over,167.0,2.7,581.0
339,60030,Margin of Error,Related children of householder under 18 years,316.0,4.1,497.0
340,60030,Margin of Error,Under 18 years,311.0,4.0,489.0
341,60030,Margin of Error,Under 5 years,75.0,3.8,320.0
342,60031,Estimate,18 to 34 years,546.0,6.5,8408.0
343,60031,Estimate,18 to 64 years,1190.0,4.8,24611.0
344,60031,Estimate,35 to 64 years,644.0,4.0,16203.0
345,60031,Estimate,5 to 17 years,264.0,3.9,6836.0
346,60031,Estimate,60 years and over,295.0,4.2,7104.0
347,60031,Estimate,65 years and over,208.0,4.7,4404.0
348,60031,Estimate,Related children of householder under 18 years,352.0,4.1,8577.0
349,60031,Estimate,Under 18 years,380.0,4.4,8614.0
350,60031,Estimate,Under 5 years,116.0,6.5,1778.0
351,60031,Margin of Error,18 to 34 years,187.0,2.3,602.0
352,60031,Margin of Error,18 to 64 years,311.0,1.3,734.0
353,60031,Margin of Error,35 to 64 years,187.0,1.2,624.0
354,60031,Margin of Error,5 to 17 years,124.0,1.8,495.0
355,60031,Margin of Error,60 years and over,100.0,1.4,544.0
356,60031,Margin of Error,65 years and over,80.0,1.8,389.0
357,60031,Margin of Error,Related children of householder under 18 years,202.0,2.4,501.0
358,60031,Margin of Error,Under 18 years,205.0,2.4,505.0
359,60031,Margin of Error,Under 5 years,109.0,5.9,296.0
360,60033,Estimate,18 to 34 years,405.0,14.2,2844.0
361,60033,Estimate,18 to 64 years,863.0,11.7,7402.0
362,60033,Estimate,35 to 64 years,458.0,10.0,4558.0
363,60033,Estimate,5 to 17 years,1084.0,32.8,3300.0
364,60033,Estimate,60 years and over,145.0,5.2,2787.0
365,60033,Estimate,65 years and over,69.0,3.7,1859.0
366,60033,Estimate,Related children of householder under 18 years,1285.0,31.5,4084.0
367,60033,Estimate,Under 18 years,1352.0,32.6,4151.0
368,60033,Estimate,Under 5 years,268.0,31.5,851.0
369,60033,Margin of Error,18 to 34 years,175.0,5.7,367.0
370,60033,Margin of Error,18 to 64 years,203.0,2.9,530.0
371,60033,Margin of Error,35 to 64 years,177.0,3.8,567.0
372,60033,Margin of Error,5 to 17 years,404.0,10.6,370.0
373,60033,Margin of Error,60 years and over,62.0,2.5,416.0
374,60033,Margin of Error,65 years and over,44.0,2.5,339.0
375,60033,Margin of Error,Related children of householder under 18 years,504.0,10.6,413.0
376,60033,Margin of Error,Under 18 years,492.0,10.2,393.0
377,60033,Margin of Error,Under 5 years,123.0,13.5,186.0
378,60034,Estimate,18 to 34 years,57.0,9.7,587.0
379,60034,Estimate,18 to 64 years,121.0,8.7,1388.0
380,60034,Estimate,35 to 64 years,64.0,8.0,801.0
381,60034,Estimate,5 to 17 years,13.0,3.3,396.0
382,60034,Estimate,60 years and over,51.0,12.8,400.0
383,60034,Estimate,65 years and over,37.0,13.4,276.0
384,60034,Estimate,Related children of householder under 18 years,44.0,7.8,566.0
385,60034,Estimate,Under 18 years,44.0,7.8,566.0
386,60034,Estimate,Under 5 years,31.0,18.2,170.0
387,60034,Margin of Error,18 to 34 years,45.0,8.1,165.0
388,60034,Margin of Error,18 to 64 years,68.0,4.9,262.0
389,60034,Margin of Error,35 to 64 years,51.0,5.8,173.0
390,60034,Margin of Error,5 to 17 years,21.0,5.5,110.0
391,60034,Margin of Error,60 years and over,38.0,8.2,106.0
392,60034,Margin of Error,65 years and over,35.0,11.5,79.0
393,60034,Margin of Error,Related children of householder under 18 years,38.0,7.1,120.0
394,60034,Margin of Error,Under 18 years,38.0,7.1,120.0
395,60034,Margin of Error,Under 5 years,31.0,17.5,59.0
396,60035,Estimate,18 to 34 years,219.0,7.9,2765.0
397,60035,Estimate,18 to 64 years,712.0,4.8,14919.0
398,60035,Estimate,35 to 64 years,493.0,4.1,12154.0
399,60035,Estimate,5 to 17 years,254.0,4.7,5375.0
400,60035,Estimate,60 years and over,473.0,5.0,9501.0
401,60035,Estimate,65 years and over,378.0,5.3,7122.0
402,60035,Estimate,Related children of householder under 18 years,260.0,3.6,7305.0
403,60035,Estimate,Under 18 years,260.0,3.5,7331.0
404,60035,Estimate,Under 5 years,6.0,0.3,1956.0
405,60035,Margin of Error,18 to 34 years,101.0,3.5,355.0
406,60035,Margin of Error,18 to 64 years,174.0,1.1,442.0
407,60035,Margin of Error,35 to 64 years,132.0,1.1,406.0
408,60035,Margin of Error,5 to 17 years,92.0,1.7,386.0
409,60035,Margin of Error,60 years and over,173.0,1.9,715.0
410,60035,Margin of Error,65 years and over,161.0,2.3,496.0
411,60035,Margin of Error,Related children of householder under 18 years,94.0,1.3,442.0
412,60035,Margin of Error,Under 18 years,94.0,1.3,443.0
413,60035,Margin of Error,Under 5 years,9.0,0.4,328.0
414,60040,Estimate,18 to 34 years,164.0,11.9,1376.0
415,60040,Estimate,18 to 64 years,484.0,15.3,3168.0
416,60040,Estimate,35 to 64 years,320.0,17.9,1792.0
417,60040,Estimate,5 to 17 years,186.0,23.1,806.0
418,60040,Estimate,60 years and over,24.0,2.6,908.0
419,60040,Estimate,65 years and over,9.0,1.3,714.0
420,60040,Estimate,Related children of householder under 18 years,350.0,26.5,1322.0
421,60040,Estimate,Under 18 years,350.0,26.5,1322.0
422,60040,Estimate,Under 5 years,164.0,31.8,516.0
423,60040,Margin of Error,18 to 34 years,102.0,7.5,273.0
424,60040,Margin of Error,18 to 64 years,264.0,8.3,264.0
425,60040,Margin of Error,35 to 64 years,203.0,10.8,267.0
426,60040,Margin of Error,5 to 17 years,131.0,15.9,202.0
427,60040,Margin of Error,60 years and over,22.0,2.5,325.0
428,60040,Margin of Error,65 years and over,16.0,2.3,311.0
429,60040,Margin of Error,Related children of householder under 18 years,218.0,16.4,232.0
430,60040,Margin of Error,Under 18 years,218.0,16.4,232.0
431,60040,Margin of Error,Under 5 years,126.0,24.3,190.0
432,60041,Estimate,18 to 34 years,154.0,8.8,1758.0
433,60041,Estimate,18 to 64 years,497.0,9.3,5331.0
434,60041,Estimate,35 to 64 years,343.0,9.6,3573.0
435,60041,Estimate,5 to 17 years,140.0,10.6,1325.0
436,60041,Estimate,60 years and over,154.0,8.3,1859.0
437,60041,Estimate,65 years and over,69.0,5.6,1242.0
438,60041,Estimate,Related children of householder under 18 years,188.0,11.4,1651.0
439,60041,Estimate,Under 18 years,188.0,11.4,1651.0
440,60041,Estimate,Under 5 years,48.0,14.7,326.0
441,60041,Margin of Error,18 to 34 years,94.0,5.2,364.0
442,60041,Margin of Error,18 to 64 years,264.0,5.0,709.0
443,60041,Margin of Error,35 to 64 years,228.0,6.3,574.0
444,60041,Margin of Error,5 to 17 years,124.0,9.6,365.0
