,Zipcode,Stats,ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,Below poverty level,Percent below poverty level,Total
139,60014,Margin of Error,200 percent of poverty level,,,981.0
140,60014,Margin of Error,300 percent of poverty level,,,1502.0
141,60014,Margin of Error,400 percent of poverty level,,,1805.0
142,60014,Margin of Error,50 percent of poverty level,,,384.0
143,60014,Margin of Error,500 percent of poverty level,,,1745.0
144,60015,Estimate,125 percent of poverty level,,,1190.0
145,60015,Estimate,150 percent of poverty level,,,1571.0
146,60015,Estimate,185 percent of poverty level,,,1946.0
147,60015,Estimate,200 percent of poverty level,,,2055.0
148,60015,Estimate,300 percent of poverty level,,,3520.0
149,60015,Estimate,400 percent of poverty level,,,5377.0
150,60015,Estimate,50 percent of poverty level,,,379.0
151,60015,Estimate,500 percent of poverty level,,,6694.0
152,60015,Margin of Error,125 percent of poverty level,,,391.0
153,60015,Margin of Error,150 percent of poverty level,,,418.0
154,60015,Margin of Error,185 percent of poverty level,,,452.0
155,60015,Margin of Error,200 percent of poverty level,,,463.0
156,60015,Margin of Error,300 percent of poverty level,,,591.0
157,60015,Margin of Error,400 percent of poverty level,,,775.0
158,60015,Margin of Error,50 percent of poverty level,,,141.0
159,60015,Margin of Error,500 percent of poverty level,,,775.0
160,60016,Estimate,125 percent of poverty level,,,7590.0
161,60016,Estimate,150 percent of poverty level,,,9010.0
162,60016,Estimate,185 percent of poverty level,,,12980.0
163,60016,Estimate,200 percent of poverty level,,,13987.0
164,60016,Estimate,300 percent of poverty level,,,24237.0
165,60016,Estimate,400 percent of poverty level,,,32402.0
166,60016,Estimate,50 percent of poverty level,,,3034.0
167,60016,Estimate,500 percent of poverty level,,,39658.0
168,60016,Margin of Error,125 percent of poverty level,,,989.0
169,60016,Margin of Error,150 percent of poverty level,,,1048.0
170,60016,Margin of Error,185 percent of poverty level,,,1315.0
171,60016,Margin of Error,200 percent of poverty level,,,1378.0
172,60016,Margin of Error,300 percent of poverty level,,,2067.0
173,60016,Margin of Error,400 percent of poverty level,,,2172.0
174,60016,Margin of Error,50 percent of poverty level,,,710.0
175,60016,Margin of Error,500 percent of poverty level,,,2139.0
176,60018,Estimate,125 percent of poverty level,,,4691.0
177,60018,Estimate,150 percent of poverty level,,,6051.0
178,60018,Estimate,185 percent of poverty level,,,8128.0
179,60018,Estimate,200 percent of poverty level,,,8795.0
180,60018,Estimate,300 percent of poverty level,,,14731.0
181,60018,Estimate,400 percent of poverty level,,,19072.0
182,60018,Estimate,50 percent of poverty level,,,1556.0
183,60018,Estimate,500 percent of poverty level,,,21467.0
184,60018,Margin of Error,125 percent of poverty level,,,1018.0
185,60018,Margin of Error,150 percent of poverty level,,,1067.0
186,60018,Margin of Error,185 percent of poverty level,,,1187.0
187,60018,Margin of Error,200 percent of poverty level,,,1204.0
188,60018,Margin of Error,300 percent of poverty level,,,1420.0
189,60018,Margin of Error,400 percent of poverty level,,,1533.0
190,60018,Margin of Error,50 percent of poverty level,,,621.0
191,60018,Margin of Error,500 percent of poverty level,,,1543.0
192,60020,Estimate,125 percent of poverty level,,,1301.0
193,60020,Estimate,150 percent of poverty level,,,1881.0
194,60020,Estimate,185 percent of poverty level,,,2721.0
195,60020,Estimate,200 percent of poverty level,,,3014.0
196,60020,Estimate,300 percent of poverty level,,,4847.0
197,60020,Estimate,400 percent of poverty level,,,6275.0
198,60020,Estimate,50 percent of poverty level,,,588.0
199,60020,Estimate,500 percent of poverty level,,,7445.0
200,60020,Margin of Error,125 percent of poverty level,,,354.0
201,60020,Margin of Error,150 percent of poverty level,,,578.0
202,60020,Margin of Error,185 percent of poverty level,,,746.0
203,60020,Margin of Error,200 percent of poverty level,,,757.0
204,60020,Margin of Error,300 percent of poverty level,,,833.0
205,60020,Margin of Error,400 percent of poverty level,,,837.0
206,60020,Margin of Error,50 percent of poverty level,,,275.0
207,60020,Margin of Error,500 percent of poverty level,,,803.0
208,60021,Estimate,125 percent of poverty level,,,123.0
209,60021,Estimate,150 percent of poverty level,,,211.0
210,60021,Estimate,185 percent of poverty level,,,237.0
211,60021,Estimate,200 percent of poverty level,,,411.0
212,60021,Estimate,300 percent of poverty level,,,1266.0
213,60021,Estimate,400 percent of poverty level,,,2037.0
214,60021,Estimate,50 percent of poverty level,,,37.0
215,60021,Estimate,500 percent of poverty level,,,2565.0
216,60021,Margin of Error,125 percent of poverty level,,,84.0
217,60021,Margin of Error,150 percent of poverty level,,,126.0
218,60021,Margin of Error,185 percent of poverty level,,,131.0
219,60021,Margin of Error,200 percent of poverty level,,,172.0
220,60021,Margin of Error,300 percent of poverty level,,,420.0
221,60021,Margin of Error,400 percent of poverty level,,,616.0
222,60021,Margin of Error,50 percent of poverty level,,,36.0
223,60021,Margin of Error,500 percent of poverty level,,,704.0
224,60022,Estimate,125 percent of poverty level,,,210.0
225,60022,Estimate,150 percent of poverty level,,,229.0
226,60022,Estimate,185 percent of poverty level,,,304.0
227,60022,Estimate,200 percent of poverty level,,,343.0
228,60022,Estimate,300 percent of poverty level,,,876.0
229,60022,Estimate,400 percent of poverty level,,,1556.0
230,60022,Estimate,50 percent of poverty level,,,91.0
231,60022,Estimate,500 percent of poverty level,,,2052.0
232,60022,Margin of Error,125 percent of poverty level,,,104.0
233,60022,Margin of Error,150 percent of poverty level,,,106.0
234,60022,Margin of Error,185 percent of poverty level,,,125.0
235,60022,Margin of Error,200 percent of poverty level,,,130.0
236,60022,Margin of Error,300 percent of poverty level,,,349.0
237,60022,Margin of Error,400 percent of poverty level,,,663.0
238,60022,Margin of Error,50 percent of poverty level,,,60.0
239,60022,Margin of Error,500 percent of poverty level,,,671.0
240,60025,Estimate,125 percent of poverty level,,,4762.0
241,60025,Estimate,150 percent of poverty level,,,5240.0
242,60025,Estimate,185 percent of poverty level,,,6435.0
243,60025,Estimate,200 percent of poverty level,,,7055.0
244,60025,Estimate,300 percent of poverty level,,,10753.0
245,60025,Estimate,400 percent of poverty level,,,14384.0
246,60025,Estimate,50 percent of poverty level,,,1507.0
247,60025,Estimate,500 percent of poverty level,,,17592.0
248,60025,Margin of Error,125 percent of poverty level,,,1104.0
249,60025,Margin of Error,150 percent of poverty level,,,1124.0
250,60025,Margin of Error,185 percent of poverty level,,,1252.0
251,60025,Margin of Error,200 percent of poverty level,,,1294.0
252,60025,Margin of Error,300 percent of poverty level,,,1417.0
253,60025,Margin of Error,400 percent of poverty level,,,1369.0
254,60025,Margin of Error,50 percent of poverty level,,,781.0
255,60025,Margin of Error,500 percent of poverty level,,,1303.0
256,60026,Estimate,125 percent of poverty level,,,685.0
257,60026,Estimate,150 percent of poverty level,,,867.0
258,60026,Estimate,185 percent of poverty level,,,1108.0
259,60026,Estimate,200 percent of poverty level,,,1355.0
260,60026,Estimate,300 percent of poverty level,,,2529.0
261,60026,Estimate,400 percent of poverty level,,,3292.0
262,60026,Estimate,50 percent of poverty level,,,316.0
263,60026,Estimate,500 percent of poverty level,,,4709.0
264,60026,Margin of Error,125 percent of poverty level,,,337.0
265,60026,Margin of Error,150 percent of poverty level,,,381.0
266,60026,Margin of Error,185 percent of poverty level,,,420.0
267,60026,Margin of Error,200 percent of poverty level,,,468.0
268,60026,Margin of Error,300 percent of poverty level,,,693.0
269,60026,Margin of Error,400 percent of poverty level,,,690.0
270,60026,Margin of Error,50 percent of poverty level,,,249.0
271,60026,Margin of Error,500 percent of poverty level,,,854.0
272,60029,Estimate,125 percent of poverty level,,,22.0
273,60029,Estimate,150 percent of poverty level,,,46.0
274,60029,Estimate,185 percent of poverty level,,,57.0
275,60029,Estimate,200 percent of poverty level,,,62.0
276,60029,Estimate,300 percent of poverty level,,,87.0
277,60029,Estimate,400 percent of poverty level,,,108.0
278,60029,Estimate,50 percent of poverty level,,,15.0
279,60029,Estimate,500 percent of poverty level,,,128.0
280,60029,Margin of Error,125 percent of poverty level,,,21.0
281,60029,Margin of Error,150 percent of poverty level,,,39.0
282,60029,Margin of Error,185 percent of poverty level,,,39.0
283,60029,Margin of Error,200 percent of poverty level,,,40.0
284,60029,Margin of Error,300 percent of poverty level,,,51.0
285,60029,Margin of Error,400 percent of poverty level,,,52.0
286,60029,Margin of Error,50 percent of poverty level,,,19.0
287,60029,Margin of Error,500 percent of poverty level,,,55.0
288,60030,Estimate,125 percent of poverty level,,,2813.0
289,60030,Estimate,150 percent of poverty level,,,4041.0
290,60030,Estimate,185 percent of poverty level,,,4961.0
291,60030,Estimate,200 percent of poverty level,,,5624.0
292,60030,Estimate,300 percent of poverty level,,,9875.0
293,60030,Estimate,400 percent of poverty level,,,14247.0
294,60030,Estimate,50 percent of poverty level,,,841.0
295,60030,Estimate,500 percent of poverty level,,,18497.0
296,60030,Margin of Error,125 percent of poverty level,,,627.0
297,60030,Margin of Error,150 percent of poverty level,,,811.0
298,60030,Margin of Error,185 percent of poverty level,,,816.0
299,60030,Margin of Error,200 percent of poverty level,,,933.0
300,60030,Margin of Error,300 percent of poverty level,,,1164.0
301,60030,Margin of Error,400 percent of poverty level,,,1230.0
302,60030,Margin of Error,50 percent of poverty level,,,312.0
303,60030,Margin of Error,500 percent of poverty level,,,1153.0
304,60031,Estimate,125 percent of poverty level,,,2747.0
305,60031,Estimate,150 percent of poverty level,,,3519.0
306,60031,Estimate,185 percent of poverty level,,,4319.0
307,60031,Estimate,200 percent of poverty level,,,4780.0
308,60031,Estimate,300 percent of poverty level,,,9415.0
309,60031,Estimate,400 percent of poverty level,,,13801.0
310,60031,Estimate,50 percent of poverty level,,,717.0
311,60031,Estimate,500 percent of poverty level,,,18527.0
312,60031,Margin of Error,125 percent of poverty level,,,523.0
313,60031,Margin of Error,150 percent of poverty level,,,634.0
314,60031,Margin of Error,185 percent of poverty level,,,710.0
315,60031,Margin of Error,200 percent of poverty level,,,705.0
316,60031,Margin of Error,300 percent of poverty level,,,1308.0
317,60031,Margin of Error,400 percent of poverty level,,,1294.0
318,60031,Margin of Error,50 percent of poverty level,,,205.0
319,60031,Margin of Error,500 percent of poverty level,,,1336.0
320,60033,Estimate,125 percent of poverty level,,,2849.0
321,60033,Estimate,150 percent of poverty level,,,3486.0
322,60033,Estimate,185 percent of poverty level,,,4814.0
323,60033,Estimate,200 percent of poverty level,,,5252.0
324,60033,Estimate,300 percent of poverty level,,,7721.0
325,60033,Estimate,400 percent of poverty level,,,9833.0
326,60033,Estimate,50 percent of poverty level,,,692.0
327,60033,Estimate,500 percent of poverty level,,,11388.0
328,60033,Margin of Error,125 percent of poverty level,,,720.0
329,60033,Margin of Error,150 percent of poverty level,,,837.0
330,60033,Margin of Error,185 percent of poverty level,,,911.0
331,60033,Margin of Error,200 percent of poverty level,,,922.0
332,60033,Margin of Error,300 percent of poverty level,,,759.0
333,60033,Margin of Error,400 percent of poverty level,,,722.0
334,60033,Margin of Error,50 percent of poverty level,,,341.0
335,60033,Margin of Error,500 percent of poverty level,,,630.0
336,60034,Estimate,125 percent of poverty level,,,216.0
337,60034,Estimate,150 percent of poverty level,,,309.0
338,60034,Estimate,185 percent of poverty level,,,452.0
339,60034,Estimate,200 percent of poverty level,,,508.0
340,60034,Estimate,300 percent of poverty level,,,860.0
341,60034,Estimate,400 percent of poverty level,,,1413.0
342,60034,Estimate,50 percent of poverty level,,,146.0
343,60034,Estimate,500 percent of poverty level,,,1643.0
344,60034,Margin of Error,125 percent of poverty level,,,103.0
345,60034,Margin of Error,150 percent of poverty level,,,121.0
346,60034,Margin of Error,185 percent of poverty level,,,153.0
347,60034,Margin of Error,200 percent of poverty level,,,169.0
348,60034,Margin of Error,300 percent of poverty level,,,213.0
349,60034,Margin of Error,400 percent of poverty level,,,339.0
350,60034,Margin of Error,50 percent of poverty level,,,91.0
351,60034,Margin of Error,500 percent of poverty level,,,345.0
352,60035,Estimate,125 percent of poverty level,,,1613.0
353,60035,Estimate,150 percent of poverty level,,,1982.0
354,60035,Estimate,185 percent of poverty level,,,2604.0
355,60035,Estimate,200 percent of poverty level,,,2672.0
356,60035,Estimate,300 percent of poverty level,,,5043.0
357,60035,Estimate,400 percent of poverty level,,,7078.0
358,60035,Estimate,50 percent of poverty level,,,895.0
359,60035,Estimate,500 percent of poverty level,,,9556.0
360,60035,Margin of Error,125 percent of poverty level,,,344.0
361,60035,Margin of Error,150 percent of poverty level,,,398.0
362,60035,Margin of Error,185 percent of poverty level,,,474.0
363,60035,Margin of Error,200 percent of poverty level,,,475.0
364,60035,Margin of Error,300 percent of poverty level,,,611.0
365,60035,Margin of Error,400 percent of poverty level,,,733.0
366,60035,Margin of Error,50 percent of poverty level,,,274.0
367,60035,Margin of Error,500 percent of poverty level,,,920.0
368,60040,Estimate,125 percent of poverty level,,,1155.0
369,60040,Estimate,150 percent of poverty level,,,1434.0
370,60040,Estimate,185 percent of poverty level,,,1643.0
371,60040,Estimate,200 percent of poverty level,,,1906.0
372,60040,Estimate,300 percent of poverty level,,,2611.0
373,60040,Estimate,400 percent of poverty level,,,3136.0
374,60040,Estimate,50 percent of poverty level,,,347.0
375,60040,Estimate,500 percent of poverty level,,,3517.0
376,60040,Margin of Error,125 percent of poverty level,,,515.0
377,60040,Margin of Error,150 percent of poverty level,,,532.0
378,60040,Margin of Error,185 percent of poverty level,,,564.0
379,60040,Margin of Error,200 percent of poverty level,,,600.0
380,60040,Margin of Error,300 percent of poverty level,,,495.0
381,60040,Margin of Error,400 percent of poverty level,,,508.0
382,60040,Margin of Error,50 percent of poverty level,,,281.0
383,60040,Margin of Error,500 percent of poverty level,,,474.0
384,60041,Estimate,125 percent of poverty level,,,1525.0
385,60041,Estimate,150 percent of poverty level,,,1615.0
386,60041,Estimate,185 percent of poverty level,,,1806.0
387,60041,Estimate,200 percent of poverty level,,,2301.0
388,60041,Estimate,300 percent of poverty level,,,3229.0
389,60041,Estimate,400 percent of poverty level,,,4328.0
390,60041,Estimate,50 percent of poverty level,,,266.0
391,60041,Estimate,500 percent of poverty level,,,5014.0
392,60041,Margin of Error,125 percent of poverty level,,,597.0
393,60041,Margin of Error,150 percent of poverty level,,,610.0
394,60041,Margin of Error,185 percent of poverty level,,,595.0
395,60041,Margin of Error,200 percent of poverty level,,,670.0
396,60041,Margin of Error,300 percent of poverty level,,,724.0
397,60041,Margin of Error,400 percent of poverty level,,,791.0
398,60041,Margin of Error,50 percent of poverty level,,,254.0
399,60041,Margin of Error,500 percent of poverty level,,,825.0
400,60042,Estimate,125 percent of poverty level,,,973.0
401,60042,Estimate,150 percent of poverty level,,,1112.0
402,60042,Estimate,185 percent of poverty level,,,1468.0
403,60042,Estimate,200 percent of poverty level,,,1638.0
404,60042,Estimate,300 percent of poverty level,,,2864.0
405,60042,Estimate,400 percent of poverty level,,,4545.0
406,60042,Estimate,50 percent of poverty level,,,162.0
407,60042,Estimate,500 percent of poverty level,,,5503.0
408,60042,Margin of Error,125 percent of poverty level,,,310.0
409,60042,Margin of Error,150 percent of poverty level,,,311.0
410,60042,Margin of Error,185 percent of poverty level,,,368.0
411,60042,Margin of Error,200 percent of poverty level,,,370.0
412,60042,Margin of Error,300 percent of poverty level,,,475.0
413,60042,Margin of Error,400 percent of poverty level,,,487.0
414,60042,Margin of Error,50 percent of poverty level,,,87.0
415,60042,Margin of Error,500 percent of poverty level,,,475.0
416,60043,Estimate,125 percent of poverty level,,,81.0
417,60043,Estimate,150 percent of poverty level,,,115.0
418,60043,Estimate,185 percent of poverty level,,,129.0
419,60043,Estimate,200 percent of poverty level,,,145.0
420,60043,Estimate,300 percent of poverty level,,,207.0
421,60043,Estimate,400 percent of poverty level,,,257.0
422,60043,Estimate,50 percent of poverty level,,,61.0
423,60043,Estimate,500 percent of poverty level,,,310.0
424,60043,Margin of Error,125 percent of poverty level,,,40.0
425,60043,Margin of Error,150 percent of poverty level,,,51.0
426,60043,Margin of Error,185 percent of poverty level,,,53.0
427,60043,Margin of Error,200 percent of poverty level,,,57.0
428,60043,Margin of Error,300 percent of poverty level,,,67.0
429,60043,Margin of Error,400 percent of poverty level,,,79.0
430,60043,Margin of Error,50 percent of poverty level,,,39.0
431,60043,Margin of Error,500 percent of poverty level,,,88.0
432,60044,Estimate,125 percent of poverty level,,,700.0
433,60044,Estimate,150 percent of poverty level,,,719.0
434,60044,Estimate,185 percent of poverty level,,,961.0
435,60044,Estimate,200 percent of poverty level,,,1020.0
436,60044,Estimate,300 percent of poverty level,,,1480.0
437,60044,Estimate,400 percent of poverty level,,,2621.0
438,60044,Estimate,50 percent of poverty level,,,388.0
439,60044,Estimate,500 percent of poverty level,,,3811.0
440,60044,Margin of Error,125 percent of poverty level,,,219.0
441,60044,Margin of Error,150 percent of poverty level,,,220.0
442,60044,Margin of Error,185 percent of poverty level,,,293.0
443,60044,Margin of Error,200 percent of poverty level,,,303.0
444,60044,Margin of Error,300 percent of poverty level,,,342.0
445,60044,Margin of Error,400 percent of poverty level,,,512.0
446,60044,Margin of Error,50 percent of poverty level,,,154.0
447,60044,Margin of Error,500 percent of poverty level,,,583.0
448,60045,Estimate,125 percent of poverty level,,,787.0
449,60045,Estimate,150 percent of poverty level,,,995.0
450,60045,Estimate,185 percent of poverty level,,,1259.0
451,60045,Estimate,200 percent of poverty level,,,1341.0
452,60045,Estimate,300 percent of poverty level,,,2587.0
453,60045,Estimate,400 percent of poverty level,,,3363.0
454,60045,Estimate,50 percent of poverty level,,,297.0
455,60045,Estimate,500 percent of poverty level,,,4755.0
456,60045,Margin of Error,125 percent of poverty level,,,265.0
457,60045,Margin of Error,150 percent of poverty level,,,286.0
458,60045,Margin of Error,185 percent of poverty level,,,302.0
459,60045,Margin of Error,200 percent of poverty level,,,301.0
460,60045,Margin of Error,300 percent of poverty level,,,431.0
461,60045,Margin of Error,400 percent of poverty level,,,504.0
462,60045,Margin of Error,50 percent of poverty level,,,155.0
463,60045,Margin of Error,500 percent of poverty level,,,597.0
464,60046,Estimate,125 percent of poverty level,,,2670.0
465,60046,Estimate,150 percent of poverty level,,,3414.0
466,60046,Estimate,185 percent of poverty level,,,4180.0
467,60046,Estimate,200 percent of poverty level,,,4595.0
468,60046,Estimate,300 percent of poverty level,,,8708.0
469,60046,Estimate,400 percent of poverty level,,,12677.0
470,60046,Estimate,50 percent of poverty level,,,671.0
471,60046,Estimate,500 percent of poverty level,,,17694.0
472,60046,Margin of Error,125 percent of poverty level,,,1108.0
473,60046,Margin of Error,150 percent of poverty level,,,1125.0
474,60046,Margin of Error,185 percent of poverty level,,,1082.0
475,60046,Margin of Error,200 percent of poverty level,,,1074.0
476,60046,Margin of Error,300 percent of poverty level,,,1249.0
477,60046,Margin of Error,400 percent of poverty level,,,1304.0
478,60046,Margin of Error,50 percent of poverty level,,,305.0
479,60046,Margin of Error,500 percent of poverty level,,,1151.0
480,60047,Estimate,125 percent of poverty level,,,1901.0
481,60047,Estimate,150 percent of poverty level,,,2172.0
482,60047,Estimate,185 percent of poverty level,,,3280.0
483,60047,Estimate,200 percent of poverty level,,,3508.0
484,60047,Estimate,300 percent of poverty level,,,5454.0
485,60047,Estimate,400 percent of poverty level,,,9085.0
486,60047,Estimate,50 percent of poverty level,,,569.0
487,60047,Estimate,500 percent of poverty level,,,13286.0
488,60047,Margin of Error,125 percent of poverty level,,,546.0
489,60047,Margin of Error,150 percent of poverty level,,,556.0
490,60047,Margin of Error,185 percent of poverty level,,,727.0
491,60047,Margin of Error,200 percent of poverty level,,,724.0
492,60047,Margin of Error,300 percent of poverty level,,,769.0
493,60047,Margin of Error,400 percent of poverty level,,,898.0
494,60047,Margin of Error,50 percent of poverty level,,,236.0
495,60047,Margin of Error,500 percent of poverty level,,,1066.0
496,60048,Estimate,125 percent of poverty level,,,1424.0
497,60048,Estimate,150 percent of poverty level,,,1849.0
498,60048,Estimate,185 percent of poverty level,,,2748.0
499,60048,Estimate,200 percent of poverty level,,,2871.0
500,60048,Estimate,300 percent of poverty level,,,4548.0
501,60048,Estimate,400 percent of poverty level,,,6646.0
502,60048,Estimate,50 percent of poverty level,,,567.0
503,60048,Estimate,500 percent of poverty level,,,8742.0
