,Zipcode,Stats,EMPLOYMENT STATUS,Below poverty level,Percent below poverty level,Total
71,60010,Estimate,Employed,298.0,1.4,21088.0
72,60010,Estimate,Employed Female,168.0,1.8,9436.0
73,60010,Estimate,Employed Male,130.0,1.1,11652.0
74,60010,Estimate,Unemployed,73.0,10.4,699.0
75,60010,Estimate,Unemployed Female,14.0,4.3,326.0
76,60010,Estimate,Unemployed Male,59.0,15.8,373.0
77,60010,Margin of Error,Civilian labor force 16 years and over,142.0,0.7,935.0
78,60010,Margin of Error,Employed,119.0,0.6,936.0
79,60010,Margin of Error,Employed Female,105.0,1.1,593.0
80,60010,Margin of Error,Employed Male,59.0,0.5,603.0
81,60010,Margin of Error,Unemployed,51.0,7.0,170.0
82,60010,Margin of Error,Unemployed Female,14.0,4.4,94.0
83,60010,Margin of Error,Unemployed Male,46.0,11.7,142.0
84,60012,Estimate,Civilian labor force 16 years and over,125.0,1.9,6671.0
85,60012,Estimate,Employed,123.0,1.9,6454.0
86,60012,Estimate,Employed Female,52.0,1.7,3032.0
87,60012,Estimate,Employed Male,71.0,2.1,3422.0
88,60012,Estimate,Unemployed,2.0,0.9,217.0
89,60012,Estimate,Unemployed Female,0.0,0.0,128.0
90,60012,Estimate,Unemployed Male,2.0,2.2,89.0
91,60012,Margin of Error,Civilian labor force 16 years and over,87.0,1.3,550.0
92,60012,Margin of Error,Employed,86.0,1.3,535.0
93,60012,Margin of Error,Employed Female,44.0,1.5,322.0
94,60012,Margin of Error,Employed Male,49.0,1.4,309.0
95,60012,Margin of Error,Unemployed,5.0,2.4,91.0
96,60012,Margin of Error,Unemployed Female,19.0,22.2,78.0
97,60012,Margin of Error,Unemployed Male,5.0,6.2,51.0
98,60013,Estimate,Civilian labor force 16 years and over,427.0,2.6,16168.0
99,60013,Estimate,Employed,320.0,2.1,15418.0
100,60013,Estimate,Employed Female,193.0,2.6,7399.0
101,60013,Estimate,Employed Male,127.0,1.6,8019.0
102,60013,Estimate,Unemployed,107.0,14.3,750.0
103,60013,Estimate,Unemployed Female,90.0,23.0,391.0
104,60013,Estimate,Unemployed Male,17.0,4.7,359.0
105,60013,Margin of Error,Civilian labor force 16 years and over,138.0,0.8,698.0
106,60013,Margin of Error,Employed,112.0,0.7,729.0
107,60013,Margin of Error,Employed Female,106.0,1.4,363.0
108,60013,Margin of Error,Employed Male,53.0,0.7,544.0
109,60013,Margin of Error,Unemployed,83.0,9.5,256.0
110,60013,Margin of Error,Unemployed Female,80.0,17.9,167.0
111,60013,Margin of Error,Unemployed Male,17.0,5.3,164.0
112,60014,Estimate,Civilian labor force 16 years and over,1027.0,4.0,25646.0
113,60014,Estimate,Employed,832.0,3.4,24505.0
114,60014,Estimate,Employed Female,480.0,4.4,10858.0
115,60014,Estimate,Employed Male,352.0,2.6,13647.0
116,60014,Estimate,Unemployed,195.0,17.1,1141.0
117,60014,Estimate,Unemployed Female,70.0,13.0,540.0
118,60014,Estimate,Unemployed Male,125.0,20.8,601.0
119,60014,Margin of Error,Civilian labor force 16 years and over,328.0,1.3,884.0
120,60014,Margin of Error,Employed,339.0,1.4,865.0
121,60014,Margin of Error,Employed Female,220.0,2.0,509.0
122,60014,Margin of Error,Employed Male,154.0,1.1,591.0
123,60014,Margin of Error,Unemployed,96.0,7.7,249.0
124,60014,Margin of Error,Unemployed Female,56.0,9.8,178.0
125,60014,Margin of Error,Unemployed Male,92.0,12.7,205.0
126,60015,Estimate,Civilian labor force 16 years and over,337.0,2.4,13907.0
127,60015,Estimate,Employed,213.0,1.6,13404.0
128,60015,Estimate,Employed Female,90.0,1.5,5877.0
129,60015,Estimate,Employed Male,123.0,1.6,7527.0
130,60015,Estimate,Unemployed,124.0,24.7,503.0
131,60015,Estimate,Unemployed Female,12.0,7.9,152.0
132,60015,Estimate,Unemployed Male,112.0,31.9,351.0
133,60015,Margin of Error,Civilian labor force 16 years and over,156.0,1.1,481.0
134,60015,Margin of Error,Employed,144.0,1.1,470.0
135,60015,Margin of Error,Employed Female,56.0,0.9,327.0
136,60015,Margin of Error,Employed Male,126.0,1.7,335.0
137,60015,Margin of Error,Unemployed,78.0,13.8,128.0
138,60015,Margin of Error,Unemployed Female,19.0,12.5,67.0
139,60015,Margin of Error,Unemployed Male,74.0,16.9,108.0
140,60016,Estimate,Civilian labor force 16 years and over,1482.0,4.4,33443.0
141,60016,Estimate,Employed,1077.0,3.4,31898.0
142,60016,Estimate,Employed Female,448.0,3.0,14716.0
143,60016,Estimate,Employed Male,629.0,3.7,17182.0
144,60016,Estimate,Unemployed,405.0,26.2,1545.0
145,60016,Estimate,Unemployed Female,137.0,19.5,703.0
146,60016,Estimate,Unemployed Male,268.0,31.8,842.0
147,60016,Margin of Error,Civilian labor force 16 years and over,347.0,1.0,1321.0
148,60016,Margin of Error,Employed,284.0,0.9,1288.0
149,60016,Margin of Error,Employed Female,143.0,1.0,955.0
150,60016,Margin of Error,Employed Male,202.0,1.2,836.0
151,60016,Margin of Error,Unemployed,177.0,11.4,351.0
152,60016,Margin of Error,Unemployed Female,92.0,12.3,234.0
153,60016,Margin of Error,Unemployed Male,147.0,17.3,302.0
154,60018,Estimate,Civilian labor force 16 years and over,987.0,6.7,14801.0
155,60018,Estimate,Employed,765.0,5.4,14174.0
156,60018,Estimate,Employed Female,467.0,7.3,6378.0
157,60018,Estimate,Employed Male,298.0,3.8,7796.0
158,60018,Estimate,Unemployed,222.0,35.4,627.0
159,60018,Estimate,Unemployed Female,156.0,49.8,313.0
160,60018,Estimate,Unemployed Male,66.0,21.0,314.0
161,60018,Margin of Error,Civilian labor force 16 years and over,281.0,1.8,879.0
162,60018,Margin of Error,Employed,223.0,1.5,837.0
163,60018,Margin of Error,Employed Female,163.0,2.4,496.0
164,60018,Margin of Error,Employed Male,130.0,1.7,511.0
165,60018,Margin of Error,Unemployed,141.0,15.0,241.0
166,60018,Margin of Error,Unemployed Female,123.0,24.5,145.0
167,60018,Margin of Error,Unemployed Male,53.0,15.0,152.0
168,60020,Estimate,Civilian labor force 16 years and over,255.0,4.5,5710.0
169,60020,Estimate,Employed,198.0,3.6,5506.0
170,60020,Estimate,Employed Female,150.0,5.4,2803.0
171,60020,Estimate,Employed Male,48.0,1.8,2703.0
172,60020,Estimate,Unemployed,57.0,27.9,204.0
173,60020,Estimate,Unemployed Female,24.0,29.6,81.0
174,60020,Estimate,Unemployed Male,33.0,26.8,123.0
175,60020,Margin of Error,Civilian labor force 16 years and over,137.0,2.4,592.0
176,60020,Margin of Error,Employed,121.0,2.2,597.0
177,60020,Margin of Error,Employed Female,113.0,3.9,349.0
178,60020,Margin of Error,Employed Male,53.0,1.9,378.0
179,60020,Margin of Error,Unemployed,41.0,22.4,110.0
180,60020,Margin of Error,Unemployed Female,29.0,32.2,59.0
181,60020,Margin of Error,Unemployed Male,33.0,30.0,97.0
182,60021,Estimate,Civilian labor force 16 years and over,12.0,0.3,3478.0
183,60021,Estimate,Employed,12.0,0.4,3278.0
184,60021,Estimate,Employed Female,12.0,0.8,1563.0
185,60021,Estimate,Employed Male,0.0,0.0,1715.0
186,60021,Estimate,Unemployed,0.0,0.0,200.0
187,60021,Estimate,Unemployed Female,0.0,0.0,149.0
188,60021,Estimate,Unemployed Male,0.0,0.0,51.0
189,60021,Margin of Error,Civilian labor force 16 years and over,20.0,0.6,305.0
190,60021,Margin of Error,Employed,20.0,0.6,299.0
191,60021,Margin of Error,Employed Female,20.0,1.3,235.0
192,60021,Margin of Error,Employed Male,17.0,1.9,236.0
193,60021,Margin of Error,Unemployed,17.0,15.0,140.0
194,60021,Margin of Error,Unemployed Female,17.0,19.5,139.0
195,60021,Margin of Error,Unemployed Male,17.0,41.5,41.0
196,60022,Estimate,Civilian labor force 16 years and over,52.0,1.6,3269.0
197,60022,Estimate,Employed,30.0,0.9,3159.0
198,60022,Estimate,Employed Female,13.0,1.1,1199.0
199,60022,Estimate,Employed Male,17.0,0.9,1960.0
200,60022,Estimate,Unemployed,22.0,20.0,110.0
201,60022,Estimate,Unemployed Female,19.0,26.4,72.0
202,60022,Estimate,Unemployed Male,3.0,7.9,38.0
203,60022,Margin of Error,Civilian labor force 16 years and over,36.0,1.1,310.0
204,60022,Margin of Error,Employed,24.0,0.8,285.0
205,60022,Margin of Error,Employed Female,13.0,1.0,192.0
206,60022,Margin of Error,Employed Male,22.0,1.1,217.0
207,60022,Margin of Error,Unemployed,22.0,22.8,82.0
208,60022,Margin of Error,Unemployed Female,22.0,37.0,67.0
209,60022,Margin of Error,Unemployed Male,5.0,18.0,35.0
210,60025,Estimate,Civilian labor force 16 years and over,808.0,4.0,20348.0
211,60025,Estimate,Employed,587.0,3.0,19463.0
212,60025,Estimate,Employed Female,278.0,3.1,8928.0
213,60025,Estimate,Employed Male,309.0,2.9,10535.0
214,60025,Estimate,Unemployed,221.0,25.0,885.0
215,60025,Estimate,Unemployed Female,78.0,19.8,394.0
216,60025,Estimate,Unemployed Male,143.0,29.1,491.0
217,60025,Margin of Error,Civilian labor force 16 years and over,214.0,1.0,996.0
218,60025,Margin of Error,Employed,198.0,1.0,945.0
219,60025,Margin of Error,Employed Female,151.0,1.7,718.0
220,60025,Margin of Error,Employed Male,141.0,1.3,516.0
221,60025,Margin of Error,Unemployed,116.0,13.2,305.0
222,60025,Margin of Error,Unemployed Female,65.0,14.1,123.0
223,60025,Margin of Error,Unemployed Male,97.0,22.0,281.0
224,60026,Estimate,Civilian labor force 16 years and over,60.0,1.0,6247.0
225,60026,Estimate,Employed,44.0,0.7,6080.0
226,60026,Estimate,Employed Female,10.0,0.4,2749.0
227,60026,Estimate,Employed Male,34.0,1.0,3331.0
228,60026,Estimate,Unemployed,16.0,9.6,167.0
229,60026,Estimate,Unemployed Female,0.0,0.0,98.0
230,60026,Estimate,Unemployed Male,16.0,23.2,69.0
231,60026,Margin of Error,Civilian labor force 16 years and over,64.0,1.0,524.0
232,60026,Margin of Error,Employed,58.0,0.9,507.0
233,60026,Margin of Error,Employed Female,17.0,0.6,329.0
234,60026,Margin of Error,Employed Male,55.0,1.7,287.0
235,60026,Margin of Error,Unemployed,26.0,14.0,99.0
236,60026,Margin of Error,Unemployed Female,19.0,27.6,80.0
237,60026,Margin of Error,Unemployed Male,26.0,31.4,46.0
238,60029,Estimate,Civilian labor force 16 years and over,1.0,0.4,231.0
239,60029,Estimate,Employed,1.0,0.5,220.0
240,60029,Estimate,Employed Female,1.0,1.4,74.0
241,60029,Estimate,Employed Male,0.0,0.0,146.0
242,60029,Estimate,Unemployed,0.0,0.0,11.0
243,60029,Estimate,Unemployed Female,0.0,0.0,7.0
244,60029,Estimate,Unemployed Male,0.0,0.0,4.0
245,60029,Margin of Error,Civilian labor force 16 years and over,2.0,1.0,58.0
246,60029,Margin of Error,Employed,2.0,1.1,61.0
247,60029,Margin of Error,Employed Female,2.0,3.1,22.0
248,60029,Margin of Error,Employed Male,12.0,19.8,49.0
249,60029,Margin of Error,Unemployed,12.0,89.4,8.0
250,60029,Margin of Error,Unemployed Female,12.0,100.0,7.0
251,60029,Margin of Error,Unemployed Male,12.0,100.0,7.0
252,60030,Estimate,Civilian labor force 16 years and over,673.0,3.4,19682.0
253,60030,Estimate,Employed,579.0,3.2,18235.0
254,60030,Estimate,Employed Female,215.0,2.6,8341.0
255,60030,Estimate,Employed Male,364.0,3.7,9894.0
256,60030,Estimate,Unemployed,94.0,6.5,1447.0
257,60030,Estimate,Unemployed Female,0.0,0.0,502.0
258,60030,Estimate,Unemployed Male,94.0,9.9,945.0
259,60030,Margin of Error,Civilian labor force 16 years and over,215.0,1.1,847.0
260,60030,Margin of Error,Employed,197.0,1.1,785.0
261,60030,Margin of Error,Employed Female,108.0,1.3,433.0
262,60030,Margin of Error,Employed Male,165.0,1.6,636.0
263,60030,Margin of Error,Unemployed,74.0,5.1,429.0
264,60030,Margin of Error,Unemployed Female,25.0,6.3,212.0
265,60030,Margin of Error,Unemployed Male,74.0,7.6,303.0
266,60031,Estimate,Civilian labor force 16 years and over,836.0,3.8,21869.0
267,60031,Estimate,Employed,551.0,2.7,20561.0
268,60031,Estimate,Employed Female,363.0,3.6,10219.0
269,60031,Estimate,Employed Male,188.0,1.8,10342.0
270,60031,Estimate,Unemployed,285.0,21.8,1308.0
271,60031,Estimate,Unemployed Female,226.0,38.1,593.0
272,60031,Estimate,Unemployed Male,59.0,8.3,715.0
273,60031,Margin of Error,Civilian labor force 16 years and over,278.0,1.3,855.0
274,60031,Margin of Error,Employed,206.0,1.0,800.0
275,60031,Margin of Error,Employed Female,147.0,1.4,459.0
276,60031,Margin of Error,Employed Male,112.0,1.1,598.0
277,60031,Margin of Error,Unemployed,126.0,10.1,259.0
278,60031,Margin of Error,Unemployed Female,125.0,16.3,191.0
279,60031,Margin of Error,Unemployed Male,54.0,8.0,249.0
280,60033,Estimate,Civilian labor force 16 years and over,662.0,10.0,6618.0
281,60033,Estimate,Employed,446.0,7.3,6105.0
282,60033,Estimate,Employed Female,209.0,7.9,2661.0
283,60033,Estimate,Employed Male,237.0,6.9,3444.0
284,60033,Estimate,Unemployed,216.0,42.1,513.0
285,60033,Estimate,Unemployed Female,149.0,49.8,299.0
286,60033,Estimate,Unemployed Male,67.0,31.3,214.0
287,60033,Margin of Error,Civilian labor force 16 years and over,200.0,3.1,419.0
288,60033,Margin of Error,Employed,166.0,2.8,456.0
289,60033,Margin of Error,Employed Female,138.0,5.1,275.0
290,60033,Margin of Error,Employed Male,98.0,2.9,372.0
291,60033,Margin of Error,Unemployed,140.0,19.1,180.0
292,60033,Margin of Error,Unemployed Female,125.0,28.0,139.0
293,60033,Margin of Error,Unemployed Male,69.0,24.7,126.0
294,60034,Estimate,Civilian labor force 16 years and over,51.0,4.2,1211.0
295,60034,Estimate,Employed,44.0,3.8,1171.0
296,60034,Estimate,Employed Female,35.0,6.2,566.0
297,60034,Estimate,Employed Male,9.0,1.5,605.0
298,60034,Estimate,Unemployed,7.0,17.5,40.0
299,60034,Estimate,Unemployed Female,0.0,0.0,22.0
300,60034,Estimate,Unemployed Male,7.0,38.9,18.0
301,60034,Margin of Error,Civilian labor force 16 years and over,44.0,3.7,246.0
302,60034,Margin of Error,Employed,41.0,3.6,244.0
303,60034,Margin of Error,Employed Female,40.0,7.4,226.0
304,60034,Margin of Error,Employed Male,12.0,2.1,100.0
305,60034,Margin of Error,Unemployed,8.0,17.5,27.0
306,60034,Margin of Error,Unemployed Female,12.0,63.2,18.0
307,60034,Margin of Error,Unemployed Male,8.0,36.1,16.0
308,60035,Estimate,Civilian labor force 16 years and over,444.0,3.0,14923.0
309,60035,Estimate,Employed,296.0,2.1,14305.0
310,60035,Estimate,Employed Female,172.0,2.7,6480.0
311,60035,Estimate,Employed Male,124.0,1.6,7825.0
312,60035,Estimate,Unemployed,148.0,23.9,618.0
313,60035,Estimate,Unemployed Female,25.0,8.2,305.0
314,60035,Estimate,Unemployed Male,123.0,39.3,313.0
315,60035,Margin of Error,Civilian labor force 16 years and over,136.0,0.9,664.0
316,60035,Margin of Error,Employed,118.0,0.8,691.0
317,60035,Margin of Error,Employed Female,80.0,1.2,414.0
318,60035,Margin of Error,Employed Male,86.0,1.1,446.0
319,60035,Margin of Error,Unemployed,77.0,10.9,151.0
320,60035,Margin of Error,Unemployed Female,34.0,10.7,96.0
321,60035,Margin of Error,Unemployed Male,66.0,18.6,119.0
322,60040,Estimate,Civilian labor force 16 years and over,382.0,12.9,2971.0
323,60040,Estimate,Employed,295.0,10.3,2860.0
324,60040,Estimate,Employed Female,225.0,16.9,1329.0
325,60040,Estimate,Employed Male,70.0,4.6,1531.0
326,60040,Estimate,Unemployed,87.0,78.4,111.0
327,60040,Estimate,Unemployed Female,20.0,64.5,31.0
328,60040,Estimate,Unemployed Male,67.0,83.8,80.0
329,60040,Margin of Error,Civilian labor force 16 years and over,234.0,7.9,275.0
330,60040,Margin of Error,Employed,156.0,5.8,280.0
331,60040,Margin of Error,Employed Female,124.0,9.2,225.0
332,60040,Margin of Error,Employed Male,71.0,4.7,278.0
333,60040,Margin of Error,Unemployed,95.0,26.7,104.0
334,60040,Margin of Error,Unemployed Female,22.0,40.8,25.0
335,60040,Margin of Error,Unemployed Male,84.0,27.9,93.0
336,60041,Estimate,Civilian labor force 16 years and over,319.0,6.6,4818.0
337,60041,Estimate,Employed,222.0,5.0,4404.0
338,60041,Estimate,Employed Female,171.0,7.5,2276.0
339,60041,Estimate,Employed Male,51.0,2.4,2128.0
340,60041,Estimate,Unemployed,97.0,23.4,414.0
341,60041,Estimate,Unemployed Female,41.0,21.4,192.0
342,60041,Estimate,Unemployed Male,56.0,25.2,222.0
343,60041,Margin of Error,Civilian labor force 16 years and over,210.0,4.4,685.0
344,60041,Margin of Error,Employed,192.0,4.3,675.0
345,60041,Margin of Error,Employed Female,189.0,7.9,552.0
346,60041,Margin of Error,Employed Male,59.0,2.8,338.0
347,60041,Margin of Error,Unemployed,74.0,17.2,165.0
348,60041,Margin of Error,Unemployed Female,43.0,24.1,111.0
349,60041,Margin of Error,Unemployed Male,56.0,24.0,109.0
350,60042,Estimate,Civilian labor force 16 years and over,291.0,6.0,4823.0
351,60042,Estimate,Employed,273.0,5.9,4640.0
352,60042,Estimate,Employed Female,193.0,9.4,2062.0
353,60042,Estimate,Employed Male,80.0,3.1,2578.0
354,60042,Estimate,Unemployed,18.0,9.8,183.0
355,60042,Estimate,Unemployed Female,9.0,20.9,43.0
356,60042,Estimate,Unemployed Male,9.0,6.4,140.0
357,60042,Margin of Error,Civilian labor force 16 years and over,132.0,2.8,381.0
358,60042,Margin of Error,Employed,133.0,2.9,374.0
359,60042,Margin of Error,Employed Female,96.0,4.6,269.0
360,60042,Margin of Error,Employed Male,55.0,2.1,223.0
361,60042,Margin of Error,Unemployed,21.0,12.0,137.0
362,60042,Margin of Error,Unemployed Female,14.0,35.1,40.0
363,60042,Margin of Error,Unemployed Male,16.0,13.1,127.0
364,60043,Estimate,Civilian labor force 16 years and over,17.0,1.9,873.0
365,60043,Estimate,Employed,17.0,2.0,831.0
366,60043,Estimate,Employed Female,10.0,3.3,300.0
367,60043,Estimate,Employed Male,7.0,1.3,531.0
368,60043,Estimate,Unemployed,0.0,0.0,42.0
369,60043,Estimate,Unemployed Female,0.0,0.0,10.0
370,60043,Estimate,Unemployed Male,0.0,0.0,32.0
371,60043,Margin of Error,Civilian labor force 16 years and over,13.0,1.5,109.0
372,60043,Margin of Error,Employed,13.0,1.6,107.0
373,60043,Margin of Error,Employed Female,10.0,3.4,72.0
374,60043,Margin of Error,Employed Male,11.0,2.0,60.0
375,60043,Margin of Error,Unemployed,12.0,45.8,25.0
376,60043,Margin of Error,Unemployed Female,12.0,93.8,10.0
377,60043,Margin of Error,Unemployed Male,12.0,52.4,23.0
378,60044,Estimate,Civilian labor force 16 years and over,152.0,3.3,4552.0
379,60044,Estimate,Employed,117.0,2.6,4430.0
380,60044,Estimate,Employed Female,86.0,3.9,2220.0
381,60044,Estimate,Employed Male,31.0,1.4,2210.0
382,60044,Estimate,Unemployed,35.0,28.7,122.0
383,60044,Estimate,Unemployed Female,13.0,26.0,50.0
384,60044,Estimate,Unemployed Male,22.0,30.6,72.0
385,60044,Margin of Error,Civilian labor force 16 years and over,100.0,2.2,370.0
386,60044,Margin of Error,Employed,90.0,2.0,365.0
387,60044,Margin of Error,Employed Female,86.0,3.7,279.0
388,60044,Margin of Error,Employed Male,25.0,1.1,196.0
389,60044,Margin of Error,Unemployed,42.0,29.7,77.0
390,60044,Margin of Error,Unemployed Female,20.0,41.4,47.0
391,60044,Margin of Error,Unemployed Male,24.0,27.7,39.0
392,60045,Estimate,Civilian labor force 16 years and over,168.0,1.8,9087.0
393,60045,Estimate,Employed,129.0,1.5,8796.0
394,60045,Estimate,Employed Female,44.0,1.2,3766.0
395,60045,Estimate,Employed Male,85.0,1.7,5030.0
396,60045,Estimate,Unemployed,39.0,13.4,291.0
397,60045,Estimate,Unemployed Female,7.0,4.8,146.0
398,60045,Estimate,Unemployed Male,32.0,22.1,145.0
399,60045,Margin of Error,Civilian labor force 16 years and over,85.0,0.9,623.0
400,60045,Margin of Error,Employed,81.0,0.9,604.0
401,60045,Margin of Error,Employed Female,44.0,1.2,375.0
402,60045,Margin of Error,Employed Male,62.0,1.2,423.0
403,60045,Margin of Error,Unemployed,31.0,10.1,104.0
404,60045,Margin of Error,Unemployed Female,12.0,9.6,87.0
405,60045,Margin of Error,Unemployed Male,28.0,16.9,66.0
406,60046,Estimate,Civilian labor force 16 years and over,710.0,3.7,19233.0
407,60046,Estimate,Employed,559.0,3.1,18110.0
408,60046,Estimate,Employed Female,284.0,3.3,8614.0
409,60046,Estimate,Employed Male,275.0,2.9,9496.0
410,60046,Estimate,Unemployed,151.0,13.4,1123.0
411,60046,Estimate,Unemployed Female,79.0,15.6,506.0
412,60046,Estimate,Unemployed Male,72.0,11.7,617.0
413,60046,Margin of Error,Civilian labor force 16 years and over,360.0,1.9,771.0
414,60046,Margin of Error,Employed,323.0,1.8,751.0
415,60046,Margin of Error,Employed Female,178.0,2.0,602.0
416,60046,Margin of Error,Employed Male,242.0,2.6,405.0
417,60046,Margin of Error,Unemployed,80.0,6.0,270.0
418,60046,Margin of Error,Unemployed Female,55.0,9.0,135.0
419,60046,Margin of Error,Unemployed Male,43.0,6.4,214.0
420,60047,Estimate,Civilian labor force 16 years and over,433.0,1.8,23542.0
421,60047,Estimate,Employed,413.0,1.8,22754.0
422,60047,Estimate,Employed Female,195.0,1.8,10869.0
423,60047,Estimate,Employed Male,218.0,1.8,11885.0
424,60047,Estimate,Unemployed,20.0,2.5,788.0
425,60047,Estimate,Unemployed Female,20.0,7.0,285.0
426,60047,Estimate,Unemployed Male,0.0,0.0,503.0
427,60047,Margin of Error,Civilian labor force 16 years and over,180.0,0.8,635.0
428,60047,Margin of Error,Employed,173.0,0.8,594.0
429,60047,Margin of Error,Employed Female,112.0,1.0,480.0
430,60047,Margin of Error,Employed Male,112.0,0.9,494.0
431,60047,Margin of Error,Unemployed,25.0,3.3,199.0
432,60047,Margin of Error,Unemployed Female,25.0,9.6,131.0
433,60047,Margin of Error,Unemployed Male,25.0,6.3,170.0
434,60048,Estimate,Civilian labor force 16 years and over,280.0,1.9,14659.0
435,60048,Estimate,Employed,237.0,1.7,14219.0
436,60048,Estimate,Employed Female,97.0,1.5,6445.0
437,60048,Estimate,Employed Male,140.0,1.8,7774.0
438,60048,Estimate,Unemployed,43.0,9.8,440.0
439,60048,Estimate,Unemployed Female,4.0,2.5,158.0
440,60048,Estimate,Unemployed Male,39.0,13.8,282.0
441,60048,Margin of Error,Civilian labor force 16 years and over,119.0,0.8,610.0
442,60048,Margin of Error,Employed,111.0,0.8,599.0
443,60048,Margin of Error,Employed Female,59.0,0.9,412.0
444,60048,Margin of Error,Employed Male,84.0,1.1,370.0
445,60048,Margin of Error,Unemployed,46.0,9.9,116.0
446,60048,Margin of Error,Unemployed Female,10.0,6.5,69.0
447,60048,Margin of Error,Unemployed Male,39.0,13.0,96.0
448,60050,Estimate,Civilian labor force 16 years and over,666.0,3.7,18055.0
449,60050,Estimate,Employed,583.0,3.4,17323.0
450,60050,Estimate,Employed Female,309.0,3.8,8059.0
451,60050,Estimate,Employed Male,274.0,3.0,9264.0
452,60050,Estimate,Unemployed,83.0,11.3,732.0
